backend-1  | 2026-07-24T08:16:16.015Z  INFO 1 --- [docuai-backend] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
backend-1  | 2026-07-24T08:16:16.313Z  INFO 1 --- [docuai-backend] [           main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5006a697
backend-1  | 2026-07-24T08:16:16.317Z  INFO 1 --- [docuai-backend] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
backend-1  | 2026-07-24T08:16:16.385Z  INFO 1 --- [docuai-backend] [           main] org.flywaydb.core.FlywayExecutor         : Database: jdbc:postgresql://postgres:5432/docuai (PostgreSQL 16.14)
backend-1  | 2026-07-24T08:16:16.496Z  INFO 1 --- [docuai-backend] [           main] o.f.core.internal.command.DbValidate     : Successfully validated 7 migrations (execution time 00:00.071s)
backend-1  | 2026-07-24T08:16:16.521Z  INFO 1 --- [docuai-backend] [           main] o.f.core.internal.command.DbMigrate      : Current version of schema "public": 7
backend-1  | 2026-07-24T08:16:16.526Z  INFO 1 --- [docuai-backend] [           main] o.f.core.internal.command.DbMigrate      : Schema "public" is up to date. No migration necessary.
backend-1  | 2026-07-24T08:16:16.803Z  INFO 1 --- [docuai-backend] [           main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
backend-1  | 2026-07-24T08:16:16.968Z  INFO 1 --- [docuai-backend] [           main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.5.2.Final
backend-1  | 2026-07-24T08:16:17.066Z  INFO 1 --- [docuai-backend] [           main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
backend-1  | 2026-07-24T08:16:17.369Z  WARN 1 --- [docuai-backend] [           main] org.hibernate.orm.deprecation            : HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
backend-1  | 2026-07-24T08:16:17.835Z  INFO 1 --- [docuai-backend] [           main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
backend-1  | 2026-07-24T08:16:20.184Z  INFO 1 --- [docuai-backend] [           main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
backend-1  | 2026-07-24T08:16:20.244Z  INFO 1 --- [docuai-backend] [           main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
backend-1  | 2026-07-24T08:16:20.968Z DEBUG 1 --- [docuai-backend] [           main] c.d.security.JwtAuthenticationFilter     : Filter 'jwtAuthenticationFilter' configured for use
backend-1  | 2026-07-24T08:16:20.970Z DEBUG 1 --- [docuai-backend] [           main] c.docuai.common.logging.TraceIdFilter    : Filter 'traceIdFilter' configured for use
backend-1  | 2026-07-24T08:16:23.549Z  INFO 1 --- [docuai-backend] [           main] r$InitializeUserDetailsManagerConfigurer : Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
backend-1  | 2026-07-24T08:16:24.387Z  INFO 1 --- [docuai-backend] [           main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 3 endpoints beneath base path '/actuator'
backend-1  | 2026-07-24T08:16:26.385Z  WARN 1 --- [docuai-backend] [           main] ConfigServletWebServerApplicationContext : Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'mistralAiEmbeddingModel' defined in class path resource [org/springframework/ai/autoconfigure/mistralai/MistralAiAutoConfiguration.class]: Failed to instantiate [org.springframework.ai.mistralai.MistralAiEmbeddingModel]: Factory method 'mistralAiEmbeddingModel' threw exception with message: Mistral API key must be set
backend-1  | 2026-07-24T08:16:26.395Z  INFO 1 --- [docuai-backend] [           main] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
backend-1  | 2026-07-24T08:16:26.398Z  INFO 1 --- [docuai-backend] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
backend-1  | 2026-07-24T08:16:26.409Z  INFO 1 --- [docuai-backend] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
backend-1  | 2026-07-24T08:16:26.429Z  INFO 1 --- [docuai-backend] [           main] o.apache.catalina.core.StandardService   : Stopping service [Tomcat]
backend-1  | 2026-07-24T08:16:26.449Z  INFO 1 --- [docuai-backend] [           main] .s.b.a.l.ConditionEvaluationReportLogger : 
backend-1  | 
backend-1  | Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
backend-1  | 2026-07-24T08:16:26.470Z ERROR 1 --- [docuai-backend] [           main] o.s.boot.SpringApplication               : Application run failed
backend-1  | 
