backend-1  | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
backend-1  |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
backend-1  |   '  |____| .__|_| |_|_| |_\__, | / / / /
backend-1  |  =========|_|==============|___/=/_/_/_/
backend-1  | 
backend-1  |  :: Spring Boot ::                (v3.3.1)
backend-1  | 
backend-1  | 2026-07-24T08:22:10.942Z  INFO 1 --- [docuai-backend] [           main] com.docuai.DocuaiApplication             : Starting DocuaiApplication v0.0.1-SNAPSHOT using Java 21.0.11 with PID 1 (/app/app.jar started by docuai in /app)
backend-1  | 2026-07-24T08:22:10.945Z DEBUG 1 --- [docuai-backend] [           main] com.docuai.DocuaiApplication             : Running with Spring Boot v3.3.1, Spring v6.1.10
backend-1  | 2026-07-24T08:22:10.946Z  INFO 1 --- [docuai-backend] [           main] com.docuai.DocuaiApplication             : The following 1 profile is active: "dev"
backend-1  | 2026-07-24T08:22:14.315Z  INFO 1 --- [docuai-backend] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
backend-1  | 2026-07-24T08:22:14.318Z  INFO 1 --- [docuai-backend] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
backend-1  | 2026-07-24T08:22:14.981Z  INFO 1 --- [docuai-backend] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 642 ms. Found 14 JPA repository interfaces.
backend-1  | 2026-07-24T08:22:15.666Z  INFO 1 --- [docuai-backend] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
backend-1  | 2026-07-24T08:22:15.668Z  INFO 1 --- [docuai-backend] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
